order_id,customer_id,order_date,region,product_id,quantity,price_usd,discount_pct,returned,product,category,brand,color_or_size,cost_usd,profit_usd,supplier,warehouse,defective,support_ticket_id,support_issue_type,support_issue_text,response_time_min,resolved,support_cost_usd,delivery_days,shipping_speed,return_reason
19,1034,2024-02-15,South,P400,3,118,10,0,Backpack,Accessories,Brand B,Blue,60.38,258.22,Supplier Z,C,0,,,,0,1,0.0,2,Standard,
20,1058,2024-01-17,East,P500,1,82,0,0,Coffee Mug,Home,Brand H,Black,37.2,44.8,Supplier A,B,0,,,,0,1,0.0,4,Standard,
21,1063,2024-01-27,East,P300,2,133,0,0,Running Shoes,Apparel,Brand R,Size 42,92.02,173.98,Supplier A,C,0,,,,0,1,0.0,1,Standard,
22,1036,2024-01-29,South,P100,3,75,5,0,Headphones,Electronics,Brand X,Black,47.29,166.46,Supplier A,C,0,,,,0,1,0.0,5,Express,
23,1017,2024-01-23,West,P500,3,60,20,0,Coffee Mug,Home,Brand H,Black,41.65,102.35,Supplier A,A,0,,,,0,1,0.0,1,Standard,
24,1016,2024-01-27,South,P100,2,68,10,0,Headphones,Electronics,Brand X,Black,29.18,93.22,Supplier B,C,0,,,,0,1,0.0,2,Express,
25,1035,2024-02-29,North,P100,3,57,10,0,Headphones,Electronics,Brand X,Black,27.82,126.08,Supplier Z,C,0,,,,0,1,0.0,2,Standard,
26,1062,2024-02-03,West,P500,2,34,10,0,Coffee Mug,Home,Brand H,Black,21.72,39.48,Supplier Z,A,0,,,,0,1,0.0,2,Standard,
27,1007,2024-01-15,South,P300,2,77,20,0,Running Shoes,Apparel,Brand R,Size 42,44.45,78.75,Supplier A,A,0,,,,0,1,0.0,4,Standard,
28,1051,2024-02-16,South,P500,1,74,0,0,Coffee Mug,Home,Brand H,Black,39.75,34.25,Supplier Z,A,0,,,,0,1,0.0,3,Standard,
29,1061,2024-02-24,South,P500,2,128,5,0,Coffee Mug,Home,Brand H,Black,52.78,190.42,Supplier A,A,0,,,,0,1,0.0,2,Standard,
30,1015,2024-02-09,North,P100,1,143,0,0,Headphones,Electronics,Brand X,Black,76.18,66.82,Supplier A,A,0,,,,0,1,0.0,5,Standard,
31,1068,2024-02-26,South,P500,3,83,10,0,Coffee Mug,Home,Brand H,Black,34.39,189.71,Supplier B,A,0,,,,0,1,0.0,5,Standard,
32,1022,2024-02-05,East,P100,1,108,15,0,Headphones,Electronics,Brand X,Black,58.56,33.24,Supplier A,A,0,,,,0,1,0.0,1,Standard,
33,1015,2024-01-01,West,P200,2,24,20,0,Wireless Earbuds,Electronics,Brand Y,White,11.48,26.92,Supplier A,C,0,,,,0,1,0.0,5,Standard,
34,1032,2024-02-06,East,P200,2,142,10,0,Wireless Earbuds,Electronics,Brand Y,White,81.23,174.37,Supplier A,C,0,,,,0,1,0.0,4,Standard,
35,1092,2024-02-04,South,P200,1,57,0,0,Wireless Earbuds,Electronics,Brand Y,White,26.47,30.53,Supplier A,A,0,,,,0,1,0.0,1,Standard,
36,1009,2024-01-11,North,P200,3,104,0,0,Wireless Earbuds,Electronics,Brand Y,White,50.39,261.61,Supplier A,B,0,T36,Late delivery,Customer reported: late delivery,246,1,10.64,8,Standard,
37,1012,2024-02-06,West,P500,2,113,5,0,Coffee Mug,Home,Brand H,Black,53.68,161.02,Supplier B,C,0,,,,0,1,0.0,4,Standard,
38,1011,2024-02-28,North,P100,1,113,0,0,Headphones,Electronics,Brand X,Black,63.31,49.69,Supplier B,A,0,,,,0,1,0.0,3,Standard,
39,1024,2024-02-22,West,P500,2,90,0,0,Coffee Mug,Home,Brand H,Black,54.27,125.73,Supplier B,A,0,,,,0,1,0.0,5,Standard,
40,1086,2024-02-27,South,P400,1,137,0,0,Backpack,Accessories,Brand B,Blue,87.33,49.67,Supplier B,A,0,,,,0,1,0.0,2,Standard,
41,1008,2024-02-15,East,P500,1,89,0,0,Coffee Mug,Home,Brand H,Black,55.93,33.07,Supplier B,A,0,,,,0,1,0.0,5,Standard,
42,1030,2024-01-01,North,P200,1,41,10,0,Wireless Earbuds,Electronics,Brand Y,White,22.71,14.19,Supplier A,B,0,T42,Late delivery,Customer reported: late delivery,246,1,12.0,9,Express,
43,1071,2024-01-13,North,P300,3,122,5,0,Running Shoes,Apparel,Brand R,Size 42,57.9,289.8,Supplier A,A,0,,,,0,1,0.0,2,Express,
44,1037,2024-02-18,West,P500,1,141,10,0,Coffee Mug,Home,Brand H,Black,85.21,41.69,Supplier A,A,0,,,,0,1,0.0,1,Express,
45,1035,2024-01-21,South,P500,1,148,15,0,Coffee Mug,Home,Brand H,Black,102.26,23.54,Supplier A,C,0,,,,0,1,0.0,3,Express,
46,1073,2024-02-23,North,P300,3,34,0,0,Running Shoes,Apparel,Brand R,Size 42,20.02,81.98,Supplier B,A,0,,,,0,1,0.0,1,Express,
47,1062,2024-02-10,North,P400,2,131,0,0,Backpack,Accessories,Brand B,Blue,67.66,194.34,Supplier A,A,0,,,,0,1,0.0,4,Express,
48,1064,2024-01-10,South,P100,2,60,0,0,Headphones,Electronics,Brand X,Black,41.1,78.9,Supplier B,B,0,T48,Late delivery,Customer reported: late delivery,34,0,12.53,9,Express,
49,1004,2024-02-04,North,P200,3,25,5,1,Wireless Earbuds,Electronics,Brand Y,White,12.95,58.3,Supplier Z,B,1,T49,Defective item,Customer reported: defective item,35,1,15.69,4,Standard,Not as expected
50,1061,2024-02-15,North,P300,1,37,10,0,Running Shoes,Apparel,Brand R,Size 42,23.2,10.1,Supplier A,A,0,,,,0,1,0.0,5,Standard,
51,1093,2024-02-23,South,P100,2,127,10,0,Headphones,Electronics,Brand X,Black,64.45,164.15,Supplier A,B,0,T51,Late delivery,Customer reported: late delivery,297,1,24.36,9,Express,
52,1050,2024-01-11,South,P300,3,71,5,1,Running Shoes,Apparel,Brand R,Size 42,29.01,173.34,Supplier B,B,0,T52,Late delivery,Customer reported: late delivery,127,1,16.1,7,Express,Wrong size
53,1083,2024-01-17,East,P200,1,66,5,0,Wireless Earbuds,Electronics,Brand Y,White,41.92,20.78,Supplier A,B,0,T53,Late delivery,Customer reported: late delivery,167,1,14.84,8,Express,
54,1079,2024-02-16,East,P500,2,48,10,0,Coffee Mug,Home,Brand H,Black,23.93,62.47,Supplier B,A,0,,,,0,1,0.0,1,Standard,
55,1000,2024-02-27,South,P300,1,132,10,1,Running Shoes,Apparel,Brand R,Size 42,88.31,30.49,Supplier B,B,0,T55,Late delivery,Customer reported: late delivery,199,0,6.77,8,Standard,Defective
56,1055,2024-02-26,South,P500,2,26,0,0,Coffee Mug,Home,Brand H,Black,11.4,40.6,Supplier A,A,0,,,,0,1,0.0,1,Standard,
57,1025,2024-02-21,North,P300,1,77,0,1,Running Shoes,Apparel,Brand R,Size 42,37.2,39.8,Supplier Z,B,0,T57,Late delivery,Customer reported: late delivery,57,1,14.25,9,Standard,Not as expected
58,1063,2024-01-18,North,P300,3,70,0,0,Running Shoes,Apparel,Brand R,Size 42,46.8,163.2,Supplier B,B,0,,,,0,1,0.0,6,Standard,
59,1067,2024-01-17,North,P100,2,133,0,0,Headphones,Electronics,Brand X,Black,75.7,190.3,Supplier Z,A,0,,,,0,1,0.0,5,Standard,
60,1041,2024-02-09,West,P200,2,81,10,0,Wireless Earbuds,Electronics,Brand Y,White,34.51,111.29,Supplier B,B,0,,,,0,1,0.0,4,Standard,
61,1021,2024-02-06,South,P100,2,115,0,0,Headphones,Electronics,Brand X,Black,66.96,163.04,Supplier A,A,0,,,,0,1,0.0,1,Standard,
62,1039,2024-01-09,East,P500,2,84,0,0,Coffee Mug,Home,Brand H,Black,38.3,129.7,Supplier A,A,0,,,,0,1,0.0,3,Standard,
63,1050,2024-02-23,South,P500,2,50,20,0,Coffee Mug,Home,Brand H,Black,25.97,54.03,Supplier Z,C,0,,,,0,1,0.0,1,Standard,
64,1019,2024-01-04,South,P100,2,93,5,0,Headphones,Electronics,Brand X,Black,45.01,131.69,Supplier B,A,0,,,,0,1,0.0,3,Standard,
65,1005,2024-01-13,West,P100,2,61,10,0,Headphones,Electronics,Brand X,Black,29.68,80.12,Supplier B,A,0,,,,0,1,0.0,3,Standard,
66,1074,2024-02-06,North,P200,2,24,5,0,Wireless Earbuds,Electronics,Brand Y,White,16.73,28.87,Supplier A,C,0,,,,0,1,0.0,1,Express,
67,1000,2024-01-11,West,P300,1,108,0,0,Running Shoes,Apparel,Brand R,Size 42,70.11,37.89,Supplier Z,A,0,,,,0,1,0.0,4,Standard,
68,1077,2024-02-06,North,P400,3,78,10,0,Backpack,Accessories,Brand B,Blue,49.81,160.79,Supplier A,A,0,,,,0,1,0.0,5,Standard,
69,1096,2024-01-14,West,P200,1,76,0,0,Wireless Earbuds,Electronics,Brand Y,White,43.81,32.19,Supplier B,A,0,,,,0,1,0.0,3,Standard,
70,1014,2024-01-08,East,P100,3,67,20,0,Headphones,Electronics,Brand X,Black,37.71,123.09,Supplier A,A,0,,,,0,1,0.0,2,Standard,
71,1067,2024-02-06,North,P500,3,47,5,0,Coffee Mug,Home,Brand H,Black,26.88,107.07,Supplier Z,B,0,,,,0,1,0.0,6,Express,
72,1028,2024-02-21,West,P200,2,24,5,0,Wireless Earbuds,Electronics,Brand Y,White,12.06,33.54,Supplier Z,A,0,,,,0,1,0.0,5,Standard,
73,1071,2024-01-27,East,P400,3,90,10,0,Backpack,Accessories,Brand B,Blue,53.31,189.69,Supplier B,B,0,T73,Late delivery,Customer reported: late delivery,283,1,16.67,8,Express,
74,1091,2024-02-09,East,P200,2,60,10,0,Wireless Earbuds,Electronics,Brand Y,White,34.55,73.45,Supplier B,B,0,T74,Late delivery,Customer reported: late delivery,162,1,19.14,7,Standard,
75,1056,2024-01-26,North,P200,1,65,10,0,Wireless Earbuds,Electronics,Brand Y,White,44.05,14.45,Supplier B,A,0,,,,0,1,0.0,4,Standard,
76,1025,2024-01-10,North,P100,3,77,0,0,Headphones,Electronics,Brand X,Black,44.46,186.54,Supplier A,A,0,,,,0,1,0.0,4,Express,
77,1050,2024-01-17,East,P100,1,49,0,0,Headphones,Electronics,Brand X,Black,32.29,16.71,Supplier Z,A,0,,,,0,1,0.0,3,Standard,
78,1048,2024-02-18,North,P100,1,102,0,0,Headphones,Electronics,Brand X,Black,58.57,43.43,Supplier B,A,0,,,,0,1,0.0,1,Express,
79,1082,2024-01-30,North,P400,3,132,15,0,Backpack,Accessories,Brand B,Blue,92.28,244.32,Supplier B,B,0,,,,0,1,0.0,6,Standard,
80,1091,2024-02-16,East,P500,2,63,0,0,Coffee Mug,Home,Brand H,Black,41.01,84.99,Supplier B,A,0,,,,0,1,0.0,2,Standard,
81,1033,2024-01-03,East,P100,3,128,5,0,Headphones,Electronics,Brand X,Black,57.16,307.64,Supplier A,C,0,,,,0,1,0.0,2,Standard,
82,1071,2024-01-24,East,P400,2,101,20,0,Backpack,Accessories,Brand B,Blue,66.67,94.93,Supplier A,B,0,,,,0,1,0.0,6,Standard,
83,1053,2024-02-12,South,P100,3,81,15,0,Headphones,Electronics,Brand X,Black,49.92,156.63,Supplier Z,C,0,,,,0,1,0.0,4,Express,
84,1081,2024-01-19,West,P500,3,69,15,0,Coffee Mug,Home,Brand H,Black,40.71,135.24,Supplier B,C,0,,,,0,1,0.0,4,Standard,
85,1043,2024-01-20,West,P200,3,143,15,0,Wireless Earbuds,Electronics,Brand Y,White,68.33,296.32,Supplier A,B,0,T85,Late delivery,Customer reported: late delivery,285,1,13.72,8,Standard,
86,1008,2024-02-01,West,P300,1,100,10,0,Running Shoes,Apparel,Brand R,Size 42,66.05,23.95,Supplier B,C,0,,,,0,1,0.0,3,Standard,
87,1074,2024-02-14,North,P200,2,39,0,0,Wireless Earbuds,Electronics,Brand Y,White,23.15,54.85,Supplier A,A,0,,,,0,1,0.0,2,Standard,
88,1039,2024-01-12,South,P200,1,142,0,0,Wireless Earbuds,Electronics,Brand Y,White,68.47,73.53,Supplier B,B,0,T88,Late delivery,Customer reported: late delivery,56,1,22.48,8,Standard,
89,1025,2024-02-15,South,P200,1,26,10,1,Wireless Earbuds,Electronics,Brand Y,White,11.77,11.63,Supplier Z,A,1,T89,Defective item,Customer reported: defective item,222,0,17.06,4,Express,Wrong size
90,1035,2024-02-16,East,P500,1,25,0,0,Coffee Mug,Home,Brand H,Black,15.41,9.59,Supplier B,C,0,,,,0,1,0.0,5,Standard,
91,1060,2024-01-09,North,P400,1,95,5,0,Backpack,Accessories,Brand B,Blue,42.41,47.84,Supplier B,A,0,,,,0,1,0.0,1,Standard,
92,1046,2024-01-30,East,P300,3,118,5,1,Running Shoes,Apparel,Brand R,Size 42,49.89,286.41,Supplier A,A,0,T92,Missing item,Customer reported: missing item,46,1,13.92,5,Standard,Not as expected
93,1025,2024-01-16,South,P400,3,76,20,0,Backpack,Accessories,Brand B,Blue,47.09,135.31,Supplier Z,B,0,T93,Late delivery,Customer reported: late delivery,118,1,18.86,9,Express,
94,1071,2024-02-22,East,P200,3,30,20,0,Wireless Earbuds,Electronics,Brand Y,White,17.0,55.0,Supplier B,A,0,,,,0,1,0.0,1,Standard,
95,1023,2024-02-11,East,P200,2,73,20,0,Wireless Earbuds,Electronics,Brand Y,White,45.52,71.28,Supplier A,A,0,,,,0,1,0.0,1,Standard,
96,1085,2024-02-13,East,P300,2,122,0,0,Running Shoes,Apparel,Brand R,Size 42,81.19,162.81,Supplier B,A,0,,,,0,1,0.0,1,Standard,
97,1031,2024-02-24,East,P100,2,30,5,0,Headphones,Electronics,Brand X,Black,15.76,41.24,Supplier B,C,0,,,,0,1,0.0,5,Standard,
98,1024,2024-01-16,North,P300,1,137,20,0,Running Shoes,Apparel,Brand R,Size 42,86.33,23.27,Supplier A,A,0,,,,0,1,0.0,1,Express,
99,1064,2024-01-18,West,P400,1,147,10,0,Backpack,Accessories,Brand B,Blue,63.67,68.63,Supplier A,A,0,,,,0,1,0.0,5,Standard,
100,1038,2024-02-06,North,P500,1,87,0,0,Coffee Mug,Home,Brand H,Black,52.54,34.46,Supplier A,C,0,,,,0,1,0.0,3,Standard,
101,1097,2024-02-23,North,P300,1,76,10,0,Running Shoes,Apparel,Brand R,Size 42,47.35,21.05,Supplier A,A,0,,,,0,1,0.0,5,Standard,
102,1034,2024-02-18,South,P100,1,17,15,0,Headphones,Electronics,Brand X,Black,7.09,7.36,Supplier Z,C,0,,,,0,1,0.0,5,Standard,
103,1097,2024-01-25,East,P200,3,96,10,0,Wireless Earbuds,Electronics,Brand Y,White,61.9,197.3,Supplier A,A,0,,,,0,1,0.0,1,Express,
104,1058,2024-02-11,West,P300,3,119,0,0,Running Shoes,Apparel,Brand R,Size 42,52.22,304.78,Supplier Z,C,0,,,,0,1,0.0,1,Standard,
105,1076,2024-02-17,West,P200,3,138,0,0,Wireless Earbuds,Electronics,Brand Y,White,85.15,328.85,Supplier B,A,0,,,,0,1,0.0,5,Express,
106,1087,2024-01-13,East,P100,2,128,5,0,Headphones,Electronics,Brand X,Black,73.95,169.25,Supplier Z,A,0,,,,0,1,0.0,5,Express,
107,1037,2024-01-25,North,P300,1,94,10,0,Running Shoes,Apparel,Brand R,Size 42,42.04,42.56,Supplier A,A,0,,,,0,1,0.0,4,Standard,
108,1038,2024-02-01,South,P400,1,21,15,0,Backpack,Accessories,Brand B,Blue,13.89,3.96,Supplier A,C,0,,,,0,1,0.0,3,Standard,
109,1094,2024-01-27,South,P200,1,114,5,0,Wireless Earbuds,Electronics,Brand Y,White,62.96,45.34,Supplier A,A,0,,,,0,1,0.0,1,Standard,
110,1036,2024-01-28,South,P200,2,102,15,0,Wireless Earbuds,Electronics,Brand Y,White,49.47,123.93,Supplier A,A,0,,,,0,1,0.0,4,Standard,
111,1063,2024-01-10,North,P500,2,36,20,0,Coffee Mug,Home,Brand H,Black,24.63,32.97,Supplier A,B,0,T111,Late delivery,Customer reported: late delivery,149,0,22.43,9,Standard,
112,1097,2024-01-11,East,P500,1,139,0,0,Coffee Mug,Home,Brand H,Black,56.52,82.48,Supplier A,A,0,,,,0,1,0.0,2,Standard,
113,1026,2024-01-11,North,P200,3,43,20,0,Wireless Earbuds,Electronics,Brand Y,White,23.02,80.18,Supplier A,B,0,T113,Late delivery,Customer reported: late delivery,204,1,18.09,7,Express,
114,1057,2024-01-19,South,P300,1,95,20,0,Running Shoes,Apparel,Brand R,Size 42,64.89,11.11,Supplier A,B,0,,,,0,1,0.0,6,Standard,
115,1045,2024-02-13,East,P400,3,29,10,0,Backpack,Accessories,Brand B,Blue,11.87,66.43,Supplier B,A,0,,,,0,1,0.0,3,Express,
116,1002,2024-02-13,North,P100,3,107,10,0,Headphones,Electronics,Brand X,Black,57.36,231.54,Supplier B,A,0,,,,0,1,0.0,5,Express,
117,1087,2024-01-09,West,P400,2,60,5,0,Backpack,Accessories,Brand B,Blue,26.11,87.89,Supplier A,B,0,T117,Late delivery,Customer reported: late delivery,243,1,10.38,9,Standard,
118,1040,2024-02-07,East,P300,1,78,5,0,Running Shoes,Apparel,Brand R,Size 42,32.9,41.2,Supplier A,A,0,,,,0,1,0.0,5,Express,
119,1001,2024-01-20,West,P300,1,102,0,0,Running Shoes,Apparel,Brand R,Size 42,58.27,43.73,Supplier A,A,0,,,,0,1,0.0,2,Standard,
120,1014,2024-02-07,South,P100,2,47,15,0,Headphones,Electronics,Brand X,Black,19.27,60.63,Supplier A,A,0,,,,0,1,0.0,2,Standard,
121,1031,2024-01-06,North,P200,1,120,0,0,Wireless Earbuds,Electronics,Brand Y,White,82.26,37.74,Supplier A,C,0,,,,0,1,0.0,1,Standard,
122,1003,2024-01-07,East,P100,2,128,20,0,Headphones,Electronics,Brand X,Black,75.21,129.59,Supplier B,B,0,,,,0,1,0.0,6,Express,
123,1012,2024-02-23,South,P200,3,36,5,0,Wireless Earbuds,Electronics,Brand Y,White,14.84,87.76,Supplier A,A,0,,,,0,1,0.0,4,Standard,
124,1069,2024-02-22,East,P100,3,59,10,0,Headphones,Electronics,Brand X,Black,40.87,118.43,Supplier A,A,0,,,,0,1,0.0,3,Standard,
125,1048,2024-01-29,North,P200,1,51,20,0,Wireless Earbuds,Electronics,Brand Y,White,27.95,12.85,Supplier A,A,0,,,,0,1,0.0,1,Express,
126,1097,2024-02-10,West,P500,2,38,5,0,Coffee Mug,Home,Brand H,Black,26.46,45.74,Supplier A,C,0,,,,0,1,0.0,4,Standard,
127,1039,2024-01-12,North,P400,2,80,5,0,Backpack,Accessories,Brand B,Blue,47.72,104.28,Supplier Z,A,0,,,,0,1,0.0,3,Standard,
128,1040,2024-02-06,East,P500,2,113,10,0,Coffee Mug,Home,Brand H,Black,51.29,152.11,Supplier A,C,0,,,,0,1,0.0,5,Standard,
129,1034,2024-01-25,East,P400,3,139,5,0,Backpack,Accessories,Brand B,Blue,70.58,325.57,Supplier B,A,0,,,,0,1,0.0,1,Standard,
130,1075,2024-01-14,South,P500,1,19,0,0,Coffee Mug,Home,Brand H,Black,8.95,10.05,Supplier A,C,0,,,,0,1,0.0,2,Standard,
131,1075,2024-02-26,West,P100,3,15,5,0,Headphones,Electronics,Brand X,Black,10.27,32.48,Supplier A,A,0,,,,0,1,0.0,3,Express,
132,1036,2024-01-14,South,P500,3,63,15,0,Coffee Mug,Home,Brand H,Black,41.61,119.04,Supplier A,A,0,,,,0,1,0.0,2,Standard,
133,1019,2024-02-18,North,P400,3,40,0,0,Backpack,Accessories,Brand B,Blue,18.7,101.3,Supplier A,A,0,,,,0,1,0.0,3,Standard,
134,1037,2024-02-12,East,P500,1,57,0,0,Coffee Mug,Home,Brand H,Black,33.73,23.27,Supplier Z,A,0,,,,0,1,0.0,2,Standard,
135,1004,2024-02-24,North,P400,2,142,0,0,Backpack,Accessories,Brand B,Blue,65.4,218.6,Supplier B,C,0,,,,0,1,0.0,5,Standard,
136,1071,2024-02-16,West,P200,3,69,20,0,Wireless Earbuds,Electronics,Brand Y,White,41.74,123.86,Supplier B,B,0,,,,0,1,0.0,4,Standard,
137,1065,2024-02-10,North,P100,1,60,20,0,Headphones,Electronics,Brand X,Black,27.88,20.12,Supplier B,A,0,,,,0,1,0.0,2,Standard,
138,1003,2024-02-10,East,P200,1,77,20,0,Wireless Earbuds,Electronics,Brand Y,White,53.75,7.85,Supplier B,A,0,,,,0,1,0.0,3,Express,
139,1088,2024-01-07,South,P300,3,96,15,1,Running Shoes,Apparel,Brand R,Size 42,50.94,193.86,Supplier Z,A,0,T139,Missing item,Customer reported: missing item,172,1,12.77,1,Standard,Not as expected
140,1008,2024-01-14,South,P100,3,63,5,0,Headphones,Electronics,Brand X,Black,29.5,150.05,Supplier A,B,0,,,,0,1,0.0,5,Express,
141,1099,2024-01-05,West,P300,2,99,15,0,Running Shoes,Apparel,Brand R,Size 42,53.83,114.47,Supplier A,A,0,,,,0,1,0.0,5,Standard,
142,1024,2024-02-24,East,P300,2,101,15,0,Running Shoes,Apparel,Brand R,Size 42,62.08,109.62,Supplier B,C,0,,,,0,1,0.0,5,Express,
143,1026,2024-02-17,West,P400,1,65,0,0,Backpack,Accessories,Brand B,Blue,35.34,29.66,Supplier A,A,0,,,,0,1,0.0,5,Standard,
144,1006,2024-01-26,West,P500,2,49,5,0,Coffee Mug,Home,Brand H,Black,28.57,64.53,Supplier B,A,0,,,,0,1,0.0,1,Standard,
145,1044,2024-02-25,South,P400,3,88,10,0,Backpack,Accessories,Brand B,Blue,53.92,183.68,Supplier A,B,0,T145,Late delivery,Customer reported: late delivery,292,1,12.47,7,Standard,
146,1041,2024-01-09,South,P200,3,61,20,0,Wireless Earbuds,Electronics,Brand Y,White,36.08,110.32,Supplier B,B,0,,,,0,1,0.0,5,Standard,
147,1068,2024-02-05,East,P100,2,105,10,0,Headphones,Electronics,Brand X,Black,65.06,123.94,Supplier Z,B,0,,,,0,1,0.0,5,Standard,
148,1077,2024-01-28,East,P100,3,122,15,0,Headphones,Electronics,Brand X,Black,68.39,242.71,Supplier A,A,0,,,,0,1,0.0,3,Standard,
149,1023,2024-02-10,East,P500,3,16,0,0,Coffee Mug,Home,Brand H,Black,9.74,38.26,Supplier A,A,0,,,,0,1,0.0,1,Standard,
150,1040,2024-02-09,West,P400,2,60,0,0,Backpack,Accessories,Brand B,Blue,30.07,89.93,Supplier Z,B,0,T150,Late delivery,Customer reported: late delivery,102,1,9.53,8,Express,
151,1043,2024-02-07,West,P400,2,27,5,0,Backpack,Accessories,Brand B,Blue,16.22,35.08,Supplier A,B,0,,,,0,1,0.0,5,Standard,
152,1043,2024-02-03,East,P500,2,72,0,0,Coffee Mug,Home,Brand H,Black,29.93,114.07,Supplier A,A,0,,,,0,1,0.0,4,Standard,
153,1011,2024-01-30,South,P200,1,50,20,0,Wireless Earbuds,Electronics,Brand Y,White,30.35,9.65,Supplier A,B,0,,,,0,1,0.0,4,Express,
154,1020,2024-02-13,West,P100,1,17,20,0,Headphones,Electronics,Brand X,Black,7.41,6.19,Supplier Z,A,0,,,,0,1,0.0,1,Express,
155,1084,2024-02-19,East,P400,2,46,0,0,Backpack,Accessories,Brand B,Blue,20.6,71.4,Supplier A,A,0,,,,0,1,0.0,5,Standard,
156,1059,2024-01-22,East,P200,2,89,15,0,Wireless Earbuds,Electronics,Brand Y,White,47.54,103.76,Supplier B,B,0,,,,0,1,0.0,6,Standard,
157,1020,2024-01-30,South,P500,2,26,20,0,Coffee Mug,Home,Brand H,Black,14.61,26.99,Supplier B,B,0,T157,Late delivery,Customer reported: late delivery,36,1,6.62,9,Express,
158,1051,2024-01-02,North,P300,3,80,0,1,Running Shoes,Apparel,Brand R,Size 42,40.31,199.69,Supplier Z,B,0,T158,General complaint,Customer reported: general complaint,139,1,21.59,4,Express,Wrong size
159,1059,2024-01-04,East,P300,1,148,0,1,Running Shoes,Apparel,Brand R,Size 42,64.61,83.39,Supplier B,B,0,T159,Late delivery,Customer reported: late delivery,189,1,17.39,9,Express,Defective
160,1008,2024-01-31,South,P300,3,45,0,0,Running Shoes,Apparel,Brand R,Size 42,20.59,114.41,Supplier A,A,0,,,,0,1,0.0,1,Standard,
161,1051,2024-01-04,West,P300,2,87,10,0,Running Shoes,Apparel,Brand R,Size 42,37.44,119.16,Supplier B,A,0,,,,0,1,0.0,1,Standard,
162,1013,2024-02-04,South,P500,2,66,10,0,Coffee Mug,Home,Brand H,Black,34.84,83.96,Supplier A,C,0,,,,0,1,0.0,3,Standard,
