Region_ID,Region_Name,Country,Doctors_per_1000,Insurance_Coverage_pct,Preventive_Care_Visits_per_1000,Telemedicine_Adoption_pct,Emergency_Response_Time_min,Life_Expectancy_years,Healthcare_Tier
76,Region 076,Jordan,3.18,80.4,427.1,75.1,19.9,78.2,Strong
77,Region 077,Ireland,2.33,69.4,649.8,34.7,16.0,69.0,Improving
78,Region 078,Spain,3.28,76.1,510.7,63.5,19.6,68.7,Improving
79,Region 079,Mexico,2.27,88.2,597.0,23.3,18.2,74.3,Strong
80,Region 080,South Korea,1.96,76.1,294.6,27.8,18.7,72.1,Strong
81,Region 081,Ireland,3.8,96.2,583.5,40.3,6.8,82.7,Leading
82,Region 082,Italy,2.94,91.0,646.9,30.4,11.2,77.1,Leading
83,Region 083,India,2.48,99.0,861.2,48.3,5.0,86.5,Leading
84,Region 084,France,0.77,67.5,220.6,2.3,12.0,82.5,Strong
85,Region 085,Czechia,1.14,77.3,233.2,17.6,12.6,68.1,Strong
86,Region 086,Finland,0.89,58.3,432.7,55.5,16.6,74.5,Improving
87,Region 087,Australia,2.34,87.1,638.4,41.3,7.0,83.5,Leading
88,Region 088,South Korea,2.35,67.2,461.2,42.9,27.4,74.7,Improving
89,Region 089,France,2.75,88.0,879.4,69.6,21.9,81.0,Strong
90,Region 090,Czechia,3.31,76.0,284.7,4.9,10.1,71.0,Strong
91,Region 091,Norway,1.01,71.9,290.4,2.0,5.0,70.7,Strong
92,Region 092,India,1.17,78.3,545.0,68.8,5.0,77.8,Leading
93,Region 093,Ghana,1.56,64.7,290.6,8.8,19.1,77.8,Strong
94,Region 094,Kenya,2.79,68.9,613.4,35.9,6.7,70.9,Strong
95,Region 095,Portugal,2.64,69.2,513.2,5.3,15.2,74.3,Strong
96,Region 096,Kenya,1.45,67.4,393.5,2.0,21.3,83.2,Strong
97,Region 097,Spain,1.75,85.6,977.2,37.2,18.0,79.2,Strong
98,Region 098,Sweden,2.72,72.8,409.0,43.7,20.1,74.7,Strong
99,Region 099,Germany,2.44,69.4,474.7,19.6,7.3,79.7,Strong
100,Region 100,Poland,3.29,92.4,720.1,2.0,22.0,80.9,Strong
