Company_ID,Industry,Company_Size,AI_Adoption_Level_0_100,Automation_Rate_pct,Training_Hours_per_Employee,Productivity_Growth_pct,Layoff_Rate_pct,Employee_Satisfaction_Score_0_100,AI_Tier
51,Software,Enterprise,99.0,35.4,40.8,5.78,4.2,78.4,Advanced
52,Healthcare,Mid,32.9,34.6,20.1,-1.18,3.2,74.8,Early
53,Finance,Mid,77.1,38.7,14.3,4.19,2.4,64.9,Scaling
54,Healthcare,Large,80.6,31.7,34.5,6.78,4.6,68.3,Scaling
55,Media,Small,16.5,19.4,25.7,-2.5,4.1,77.0,Early
56,Agriculture,Large,30.8,27.3,31.8,4.38,4.7,86.3,Early
57,Retail,Large,54.6,16.2,17.0,-1.93,0.0,56.9,Early
58,Finance,Enterprise,37.2,12.0,16.3,-0.09,5.5,79.0,Early
59,Finance,Small,60.0,44.4,5.1,0.31,12.2,70.8,Early
60,Healthcare,Large,79.6,58.0,35.3,3.14,6.1,76.2,Scaling
61,Finance,Mid,67.7,44.2,36.0,3.2,8.7,61.5,Scaling
62,Software,Small,63.5,29.9,20.5,5.86,4.9,68.7,Early
63,Software,Large,77.2,28.1,24.9,2.07,3.8,72.9,Scaling
64,Software,Mid,73.3,35.8,26.6,2.06,10.9,59.4,Scaling
65,Agriculture,Mid,32.2,35.4,38.5,0.33,8.3,81.1,Early
66,Logistics,Mid,44.2,41.5,33.4,1.29,9.6,63.0,Early
67,Media,Mid,63.4,32.0,38.7,2.42,12.9,82.4,Scaling
68,Software,Large,65.8,37.7,26.1,0.73,7.1,52.7,Early
69,Logistics,Large,60.8,14.0,22.4,3.64,5.4,54.1,Early
70,Manufacturing,Small,71.0,42.8,39.4,3.95,7.1,51.1,Scaling
71,Software,Mid,23.5,37.7,4.7,2.42,12.7,68.2,Early
72,Media,Small,81.7,35.9,35.1,7.33,9.3,59.2,Scaling
73,Software,Small,32.7,28.4,9.7,-2.23,4.7,57.7,Early
74,Manufacturing,Small,55.2,50.5,33.9,6.42,5.2,79.1,Scaling
75,Agriculture,Large,57.8,40.3,31.5,4.27,8.1,85.5,Scaling
76,Retail,Large,52.4,30.0,16.7,5.09,8.6,57.7,Early
77,Energy,Mid,58.4,23.9,28.7,2.96,7.3,81.7,Scaling
78,Agriculture,Small,44.9,2.0,13.1,3.23,6.7,70.9,Early
79,Agriculture,Small,41.8,11.8,13.5,2.89,5.2,66.2,Early
80,Agriculture,Small,53.1,25.3,21.8,5.45,8.2,54.3,Early
81,Agriculture,Enterprise,58.1,39.1,18.8,1.56,9.6,51.0,Early
82,Energy,Mid,42.6,28.4,34.0,1.11,3.2,71.6,Early
83,Energy,Small,60.7,45.0,47.7,3.34,2.6,75.1,Scaling
84,Logistics,Enterprise,39.4,10.3,23.7,4.71,5.8,60.9,Early
85,Logistics,Enterprise,44.3,5.1,24.3,5.4,3.4,59.2,Early
86,Software,Mid,62.5,39.1,34.5,1.26,2.4,58.3,Scaling
87,Logistics,Mid,62.9,53.3,23.9,4.43,10.8,68.9,Early
88,Logistics,Small,49.2,30.3,29.6,2.6,7.6,74.8,Early
89,Finance,Mid,61.9,25.1,8.1,2.29,11.4,69.5,Early
90,Education,Small,83.8,48.9,23.3,5.69,8.0,72.8,Scaling
91,Agriculture,Small,46.2,43.9,9.2,5.79,8.8,58.3,Early
92,Retail,Enterprise,78.2,22.1,10.3,5.08,2.5,83.1,Scaling
93,Energy,Small,31.0,18.3,31.8,0.7,9.5,57.4,Early
94,Education,Small,66.4,45.1,24.6,2.26,9.6,71.8,Scaling
95,Media,Small,51.3,31.5,41.0,4.23,8.4,65.6,Early
96,Retail,Small,92.7,31.4,46.6,6.38,4.6,61.4,Advanced
97,Manufacturing,Small,45.6,33.3,23.8,4.7,6.7,60.9,Early
98,Healthcare,Enterprise,39.8,14.5,19.4,4.78,6.6,72.1,Early
99,Education,Enterprise,73.7,17.8,21.1,4.47,3.5,79.4,Scaling
100,Finance,Enterprise,62.1,35.5,2.5,3.97,6.0,67.2,Early
