Farm_ID,Country,Crop_Type,Organic_Practices_pct,Soil_Health_Score_0_100,Water_Usage_per_Hectare_m3,Yield_per_Hectare_Tons,Fertilizer_Usage_kg_per_Hectare,Biodiversity_Index_0_1,Sustainability_Tier
80,Finland,Fruit,56.2,67.9,2967,6.02,10.0,0.84,Improving
81,Mexico,Coffee,51.0,45.9,3910,6.52,97.3,0.62,Needs Support
82,Ireland,Coffee,72.8,71.8,1313,5.0,120.4,0.81,Strong
83,Sweden,Coffee,98.0,82.5,2150,4.77,10.0,0.7,Strong
84,Kenya,Coffee,25.1,68.6,5117,7.82,120.8,0.65,Improving
85,New Zealand,Rice,31.9,70.6,4456,6.98,192.7,0.61,Improving
86,Finland,Maize,0.9,85.3,2285,8.36,37.1,0.36,Needs Support
87,Finland,Wheat,60.3,52.9,1685,6.45,76.9,0.83,Improving
88,New Zealand,Legumes,10.6,82.5,4190,7.84,94.4,0.86,Improving
89,Poland,Coffee,43.3,76.9,3037,6.44,59.0,0.73,Improving
90,Sweden,Maize,52.1,69.9,3813,5.87,53.9,0.44,Improving
91,New Zealand,Wheat,74.7,58.7,900,5.21,25.1,0.57,Improving
92,New Zealand,Coffee,38.7,68.4,2729,9.06,53.9,0.3,Needs Support
93,Ireland,Coffee,27.3,71.3,2844,5.33,100.1,0.44,Needs Support
94,Sweden,Rice,23.4,62.0,6508,8.32,130.4,0.76,Improving
95,Spain,Wheat,65.6,68.1,4844,5.1,10.0,0.8,Improving
96,Denmark,Soy,31.0,58.6,4810,4.85,67.7,0.44,Needs Support
97,Denmark,Soy,41.5,57.1,1010,8.13,100.7,0.41,Needs Support
98,Sweden,Maize,59.8,76.1,4835,7.33,151.0,0.51,Improving
99,Sweden,Vegetables,83.7,80.0,5136,7.43,137.2,0.8,Strong
100,South Korea,Vegetables,80.0,85.9,2379,6.16,70.4,0.74,Strong
