City_ID,City_Name,Country,Region_Type,Population,Density_per_km2,Public_Transport_Score_0_100,Air_Quality_AQI,Green_Space_m2_per_capita,Crime_Rate_per_100k,Employment_Rate_pct,Median_Income_USD,Housing_Affordability_Index,Education_Access_Score_0_100,Healthcare_Access_Score_0_100,Broadband_Coverage_pct,Climate_Resilience_Score_0_100,Happiness_Index_0_10,Overall_Quality_of_Life_Score_0_100,QoL_Tier
16,Pinecrest 016,Netherlands,Suburban,242975,1194,73.5,46,17.6,136,93.3,47730,145.6,71.2,60.5,90.1,69.8,6.1,65.0,Improving
17,Greenhaven 017,Ireland,Suburban,733086,1181,58.9,58,25.2,442,89.8,47244,137.5,60.4,75.6,95.4,83.1,5.1,65.5,Improving
18,Brookfield 018,Denmark,Suburban,578465,1672,56.5,36,26.8,663,95.1,66485,128.8,63.7,75.9,72.3,73.9,5.7,63.2,Improving
19,Greenhaven 019,Portugal,Suburban,628413,1470,69.5,43,28.9,959,88.3,47920,93.6,71.3,76.1,95.1,75.0,6.5,69.8,Improving
20,Springdale 020,Norway,Suburban,233377,2266,31.4,60,37.4,727,91.9,52405,118.6,66.7,66.7,92.2,66.0,4.2,58.6,Improving
21,Pinecrest 021,Netherlands,Suburban,1339604,1805,56.0,68,30.4,380,88.6,31123,68.7,64.3,66.1,78.4,61.0,5.3,68.5,Improving
22,Riverton 022,Portugal,Urban,588236,4261,50.1,78,26.6,544,91.5,55849,112.1,72.3,56.4,75.7,85.7,4.6,54.8,Needs Support
23,Kingsford 023,New Zealand,Suburban,436731,1450,67.1,53,27.2,379,93.9,52358,64.1,73.0,75.5,88.9,93.1,6.0,75.5,Thriving
24,Northport 024,Norway,Suburban,1649511,1444,54.8,38,43.0,509,96.8,32964,98.1,51.1,46.6,83.1,90.3,5.0,65.5,Improving
25,Brookfield 025,Japan,Suburban,527043,923,49.6,63,22.6,381,90.9,37364,123.3,70.6,64.1,86.9,90.0,5.0,63.5,Improving
26,Kingsford 026,Germany,Suburban,243318,1657,59.6,56,36.2,264,94.8,70741,113.0,71.7,64.6,92.0,74.8,6.4,71.1,Improving
27,Riverton 027,Canada,Suburban,432407,2382,47.0,66,10.5,630,85.0,20445,135.6,57.5,76.6,83.4,71.5,4.0,47.0,Needs Support
28,Kingsford 028,Netherlands,Suburban,153495,1089,63.1,60,20.1,569,88.5,38098,105.5,68.9,68.0,87.1,78.8,4.3,63.8,Improving
29,Kingsford 029,Norway,Suburban,962383,1592,55.6,69,30.0,514,89.3,33401,108.1,51.8,58.4,89.3,76.5,5.3,57.3,Improving
30,Westhaven 030,Japan,Suburban,429741,2429,60.2,70,24.8,614,91.0,62582,108.3,79.4,53.7,92.2,93.5,5.7,66.6,Improving
31,Riverton 031,Ireland,Suburban,359185,1526,55.1,71,50.9,888,92.2,49013,118.3,62.6,60.7,98.3,71.7,5.6,64.1,Improving
32,Brookfield 032,Denmark,Suburban,974674,1230,74.3,51,47.7,558,94.2,51364,107.6,64.2,69.1,97.9,78.2,6.2,74.7,Thriving
33,Riverton 033,Japan,Suburban,217925,2794,63.8,75,13.7,496,87.8,47141,133.9,77.0,68.6,87.7,69.7,4.5,54.4,Needs Support
34,Springdale 034,Japan,Suburban,725405,1726,70.2,51,18.1,692,93.3,55018,139.4,63.6,66.0,84.4,67.2,6.4,60.9,Improving
35,Lakeside 035,Denmark,Suburban,173610,2035,70.0,60,25.3,270,90.0,53106,117.7,71.0,61.2,99.0,85.8,6.8,69.5,Improving
36,Silvergate 036,Portugal,Suburban,375424,3116,55.8,89,39.5,693,97.2,33703,90.8,54.5,65.9,90.5,61.1,5.8,63.0,Improving
37,Pinecrest 037,Germany,Suburban,278640,3072,72.3,66,34.7,433,93.5,58035,125.1,59.3,78.0,89.0,90.9,5.6,72.1,Thriving
38,Lakeside 038,Denmark,Suburban,1207528,1352,67.7,40,29.6,401,92.8,34221,130.2,51.1,57.0,78.3,86.4,6.3,64.3,Improving
39,Springdale 039,Norway,Suburban,1427433,1225,67.1,80,15.7,556,91.6,53780,120.4,62.9,68.3,91.4,77.2,5.1,62.2,Improving
40,Northport 040,Portugal,Suburban,450819,1913,59.3,74,19.8,832,91.5,45572,114.7,75.3,84.2,80.6,88.5,6.3,63.7,Improving
41,Kingsford 041,Norway,Suburban,858037,1521,58.6,75,5.3,415,92.9,42123,124.6,67.2,73.5,82.8,93.9,4.5,61.8,Improving
42,Silvergate 042,Canada,Rural-Regional,489435,575,72.1,59,15.3,690,89.9,49375,129.7,73.8,63.4,76.7,74.8,5.5,58.5,Improving
43,Springdale 043,Portugal,Suburban,738542,3299,91.8,67,28.9,632,93.9,36113,65.1,54.7,74.6,82.4,84.7,6.3,71.3,Improving
44,Hillcrest 044,New Zealand,Suburban,357160,1653,53.9,55,33.1,307,93.7,50791,136.9,56.2,60.5,86.4,82.9,5.9,59.8,Improving
45,Northport 045,New Zealand,Suburban,211168,2453,71.1,49,15.7,711,93.8,33621,123.1,60.3,68.1,75.6,78.3,4.9,56.6,Improving
46,Kingsford 046,Denmark,Suburban,200445,858,58.6,80,28.2,392,92.9,56148,116.7,70.7,83.5,79.8,72.1,6.4,68.8,Improving
47,Kingsford 047,Canada,Suburban,667114,3323,75.1,56,38.5,318,95.5,47864,104.2,68.6,86.9,85.5,73.3,6.9,75.4,Thriving
48,Sunnyside 048,New Zealand,Suburban,1860167,1184,68.6,50,28.4,403,90.4,50678,112.2,64.8,50.9,77.2,83.1,5.0,58.5,Improving
49,Seaview 049,Netherlands,Suburban,626670,1542,76.4,51,24.4,419,98.0,63068,122.2,71.2,75.0,77.3,70.6,6.8,71.4,Improving
50,Northport 050,New Zealand,Rural-Regional,404929,757,29.3,84,32.3,632,89.6,39962,78.3,63.5,87.5,80.2,87.7,5.1,60.1,Improving
51,Springdale 051,Norway,Suburban,1546663,1492,56.4,71,31.1,417,91.3,65404,125.0,64.8,62.5,76.2,85.8,4.1,58.1,Improving
52,Greenhaven 052,Germany,Suburban,615700,1442,51.7,52,27.6,795,94.9,63480,112.3,78.0,70.6,90.3,73.2,5.6,67.1,Improving
53,Kingsford 053,Ireland,Suburban,571367,1477,62.3,57,22.6,579,95.9,56736,136.5,59.1,83.1,79.1,79.1,5.7,63.4,Improving
54,Riverton 054,Japan,Suburban,620895,2082,55.6,67,23.0,428,90.3,37549,120.9,66.8,63.1,91.4,77.1,5.2,60.3,Improving
55,Rosemont 055,Denmark,Suburban,502420,1691,56.2,71,27.4,403,88.2,57520,107.7,81.1,72.5,92.4,76.4,6.9,70.6,Improving
56,Sunnyside 056,Japan,Suburban,455790,2798,73.3,36,21.5,599,87.6,45010,113.1,66.0,67.4,77.7,86.4,5.2,61.9,Improving
57,Stonebridge 057,Norway,Suburban,245430,1265,86.2,71,37.7,193,90.7,54593,120.6,72.1,48.7,86.3,80.9,6.4,73.0,Thriving
58,Springdale 058,Netherlands,Suburban,712042,946,29.2,54,34.4,164,91.0,39222,108.2,58.9,71.5,82.7,81.6,4.2,59.5,Improving
59,Pinecrest 059,Canada,Suburban,512919,1619,60.1,48,35.5,393,93.1,60959,121.1,84.6,66.2,78.1,59.9,5.5,67.3,Improving
60,Oakridge 060,New Zealand,Suburban,1041525,2311,68.3,54,42.5,660,94.2,20000,93.6,42.5,77.3,83.7,87.7,5.8,69.4,Improving
61,Cedarvale 061,Germany,Suburban,441154,3244,65.7,73,38.2,597,95.1,37576,89.8,53.7,88.9,84.3,66.1,6.2,68.9,Improving
62,Kingsford 062,Germany,Suburban,189377,2560,60.7,86,37.4,561,89.8,29223,98.5,54.5,74.8,91.0,76.8,5.4,61.1,Improving
63,Cedarvale 063,Sweden,Rural-Regional,511556,620,46.4,58,30.5,493,94.9,64603,83.0,81.2,64.3,93.2,94.8,6.3,71.9,Improving
64,Seaview 064,Portugal,Suburban,1376074,2013,52.9,67,24.9,179,96.7,64290,99.0,68.5,72.5,78.3,94.0,6.4,71.0,Improving
65,Silvergate 065,Norway,Urban,437624,3653,74.8,50,43.6,517,96.8,69759,125.3,62.4,70.0,83.2,78.2,7.3,70.6,Improving
66,Brookfield 066,Japan,Suburban,331233,1693,76.8,66,21.3,243,92.4,41895,78.8,52.2,78.2,89.7,63.2,5.9,69.6,Improving
67,Hillcrest 067,Netherlands,Suburban,280274,1232,64.5,70,22.1,680,89.5,57101,87.2,68.6,53.6,94.2,80.3,5.4,63.4,Improving
68,Brookfield 068,Portugal,Suburban,303303,1939,54.1,36,19.6,547,94.7,57993,124.9,66.1,56.3,69.0,70.1,4.7,56.0,Improving
69,Greenhaven 069,Netherlands,Suburban,458123,1240,64.5,50,28.8,523,96.9,54180,99.4,58.1,47.5,94.9,81.7,5.8,64.7,Improving
70,Kingsford 070,Japan,Suburban,282380,2325,61.7,71,29.6,621,89.7,37230,109.2,50.1,74.1,84.8,64.5,5.5,61.3,Improving
71,Silvergate 071,Denmark,Suburban,1231448,1624,70.4,32,35.0,598,97.9,43707,86.1,54.0,67.8,96.7,91.5,6.1,70.3,Improving
72,Fairview 072,Sweden,Urban,462568,3520,67.3,56,23.5,610,97.6,54753,97.2,67.1,61.6,83.0,91.5,3.9,71.0,Improving
73,Stonebridge 073,Portugal,Suburban,573639,2153,56.9,68,12.5,610,91.3,53326,106.1,68.1,60.7,80.2,58.1,4.3,53.5,Needs Support
74,Oakridge 074,Norway,Suburban,1191867,1099,65.5,32,29.7,436,87.7,58628,138.6,65.7,62.3,86.3,70.4,7.2,66.6,Improving
75,Cedarvale 075,New Zealand,Suburban,1235300,2281,50.4,53,34.1,326,91.1,52616,119.8,63.5,58.7,94.2,73.0,5.4,57.5,Improving
76,Silvergate 076,Denmark,Suburban,480699,2738,74.9,61,26.2,618,90.2,43495,81.6,47.3,64.8,86.2,84.4,5.0,63.3,Improving
77,Rosemont 077,Denmark,Suburban,648609,1197,77.5,71,26.0,783,93.1,40108,114.5,65.5,63.1,69.5,56.4,5.6,58.4,Improving
78,Greenhaven 078,Germany,Suburban,809574,1294,49.3,38,31.5,711,85.9,34237,122.3,54.7,81.9,90.8,81.0,5.8,62.0,Improving
79,Northport 079,New Zealand,Rural-Regional,485983,460,67.6,73,39.1,490,98.0,59549,119.9,65.4,71.2,74.8,78.0,6.6,70.0,Improving
80,Fairview 080,Germany,Suburban,203229,2689,53.1,65,25.4,663,98.0,64343,93.0,69.7,59.8,79.2,68.5,5.3,63.4,Improving
81,Pinecrest 081,Canada,Suburban,774589,1184,76.2,75,15.7,462,90.0,29320,103.4,58.2,62.2,77.9,80.5,4.4,63.4,Improving
82,Hillcrest 082,Norway,Rural-Regional,883718,509,73.4,73,23.1,593,85.7,20000,139.2,54.8,80.0,73.2,55.9,4.9,55.2,Improving
83,Oakridge 083,New Zealand,Rural-Regional,679101,618,59.9,61,26.2,426,92.6,41447,88.1,74.9,72.5,77.2,62.9,5.3,63.2,Improving
84,Lakeside 084,Ireland,Suburban,325152,1447,75.5,65,12.5,565,93.7,50798,115.0,68.5,71.0,79.1,64.7,5.7,63.7,Improving
85,Stonebridge 085,Ireland,Suburban,485136,2486,59.6,34,32.2,896,94.9,65381,101.1,58.6,75.2,81.7,85.7,6.7,62.1,Improving
86,Pinecrest 086,Ireland,Suburban,390458,1558,56.0,38,20.7,674,92.8,24561,82.1,35.0,83.9,85.6,71.9,5.8,59.5,Improving
87,Riverton 087,Norway,Suburban,458244,2121,57.5,44,30.4,805,90.6,36987,101.0,64.5,55.8,83.7,69.9,4.9,62.8,Improving
88,Greenhaven 088,Ireland,Suburban,1102716,893,61.3,52,28.9,401,86.8,50926,125.9,71.3,60.5,75.6,82.1,4.8,59.8,Improving
89,Springdale 089,Canada,Rural-Regional,1253272,782,59.0,71,24.9,415,94.8,59927,129.3,76.2,50.6,84.7,71.8,4.5,61.8,Improving
90,Kingsford 090,New Zealand,Suburban,780882,2663,66.8,33,39.0,552,94.7,47290,96.2,58.2,72.9,92.8,74.9,6.7,69.6,Improving
91,Oakridge 091,Denmark,Suburban,730737,2145,57.0,54,21.9,646,90.6,37776,100.4,58.6,64.2,92.6,73.2,5.3,62.4,Improving
92,Oakridge 092,Japan,Suburban,783985,1609,73.0,38,21.4,508,93.1,35822,91.0,60.6,61.3,86.9,79.1,6.3,67.4,Improving
93,Seaview 093,Denmark,Suburban,536738,3311,77.9,38,27.8,740,92.5,52718,77.6,73.4,60.4,90.3,98.0,6.4,73.4,Thriving
94,Rosemont 094,Canada,Suburban,518339,970,57.1,79,34.0,440,91.4,43294,117.2,53.3,74.9,92.2,69.0,4.7,63.2,Improving
95,Stonebridge 095,Netherlands,Suburban,373060,1298,46.3,59,27.0,770,87.6,45045,135.6,63.9,66.6,95.5,80.7,3.4,59.0,Improving
96,Kingsford 096,Canada,Suburban,524013,2877,73.9,85,17.9,726,92.3,50646,140.3,55.7,62.7,97.9,73.8,5.4,60.5,Improving
97,Cedarvale 097,Sweden,Urban,1872848,4495,80.7,82,30.0,395,88.4,38420,107.9,67.7,80.6,83.8,75.6,5.7,62.1,Improving
98,Greenhaven 098,Norway,Suburban,871500,1644,61.9,44,31.6,643,95.7,47781,133.0,49.5,57.5,84.1,93.9,6.5,65.0,Improving
99,Greenhaven 099,Ireland,Urban,447680,4121,51.1,35,41.4,541,89.5,49840,136.7,68.8,55.4,96.3,90.1,4.3,64.2,Improving
100,Maplewood 100,Denmark,Suburban,416832,1175,66.5,88,25.3,710,93.0,47192,101.5,60.0,93.9,96.9,84.3,5.0,62.9,Improving
101,Stonebridge 101,Japan,Suburban,335887,1961,82.5,53,28.2,457,90.2,54707,111.2,62.8,64.3,96.8,73.9,5.5,64.1,Improving
102,Greenhaven 102,Germany,Suburban,663911,1487,41.1,41,22.3,594,93.5,54429,103.1,70.3,62.6,69.6,66.6,5.3,58.8,Improving
103,Riverton 103,Ireland,Rural-Regional,670212,683,68.5,67,15.6,623,91.7,60992,112.7,76.4,60.7,84.5,76.9,5.7,62.7,Improving
104,Silvergate 104,Sweden,Suburban,244331,1885,60.3,61,27.1,79,95.1,42546,141.7,48.0,66.6,63.2,73.3,5.2,58.8,Improving
105,Kingsford 105,Ireland,Suburban,706080,2733,54.8,50,32.7,240,91.3,62394,98.3,75.0,75.8,91.1,73.8,6.6,70.5,Improving
106,Cedarvale 106,Sweden,Suburban,395058,1508,69.7,53,18.7,564,87.2,54779,88.5,70.6,75.5,86.4,81.8,4.8,65.9,Improving
107,Silvergate 107,Canada,Suburban,1184340,1574,48.2,60,21.4,521,91.3,55908,126.1,62.1,73.4,86.4,63.8,4.7,59.0,Improving
108,Westhaven 108,Sweden,Urban,589048,3520,69.5,63,15.9,744,90.9,64628,118.8,79.0,65.2,85.0,66.9,4.6,60.7,Improving
109,Seaview 109,Japan,Suburban,1389912,823,78.7,68,38.1,570,87.4,41745,71.7,66.9,53.1,95.1,89.3,5.6,70.0,Improving
110,Aurora 110,Canada,Rural-Regional,420008,718,64.9,51,22.4,314,91.5,79660,93.5,77.9,70.8,83.9,75.2,5.7,69.6,Improving
111,Cedarvale 111,Japan,Suburban,461210,1142,52.8,52,31.8,592,86.5,36887,91.0,59.1,83.2,93.2,86.1,5.7,61.0,Improving
112,Seaview 112,Japan,Suburban,637235,847,41.6,66,20.4,405,92.8,45315,95.5,56.3,78.7,89.9,67.3,7.1,63.3,Improving
113,Hillcrest 113,Ireland,Suburban,965857,3430,50.4,66,25.9,531,91.6,53695,121.5,77.2,66.3,88.5,84.4,4.5,64.3,Improving
114,Rosemont 114,Portugal,Suburban,737657,1940,42.1,75,21.5,461,93.5,52941,129.0,86.6,76.0,89.2,69.0,5.2,69.0,Improving
115,Northport 115,Portugal,Suburban,274185,1017,82.3,53,8.4,594,98.0,55836,105.8,71.3,64.1,86.8,85.6,6.2,63.7,Improving
116,Stonebridge 116,Netherlands,Suburban,597551,1167,60.3,56,27.7,295,94.1,60193,112.6,73.9,67.4,78.3,85.3,6.1,67.5,Improving
117,Riverton 117,New Zealand,Urban,547016,7892,58.2,53,26.1,444,93.6,51120,115.6,60.3,55.7,91.0,82.3,6.1,62.3,Improving
118,Sunnyside 118,Ireland,Suburban,426775,1170,47.7,80,10.4,159,95.2,41335,125.2,51.7,64.8,91.0,88.3,3.9,57.0,Improving
119,Silvergate 119,Norway,Suburban,378337,1076,50.4,36,25.8,900,90.3,51490,132.4,62.7,69.4,85.0,80.7,5.4,57.3,Improving
120,Lakeside 120,Japan,Suburban,1412917,1934,60.1,62,23.0,378,91.6,70130,109.2,80.0,66.3,91.1,70.5,5.3,67.4,Improving
121,Brookfield 121,Japan,Suburban,435952,2324,49.2,46,17.6,407,94.8,43757,97.4,46.4,75.7,92.3,90.7,5.6,66.5,Improving
122,Westhaven 122,Netherlands,Suburban,339334,1848,84.2,64,24.6,350,96.1,49678,147.6,60.0,86.8,77.0,79.8,6.5,66.7,Improving
123,Westhaven 123,Ireland,Suburban,767130,993,54.1,68,11.7,425,82.6,21361,119.7,45.9,81.2,85.0,85.2,4.4,51.6,Needs Support
124,Stonebridge 124,Japan,Suburban,580614,865,53.6,32,29.3,458,92.1,48582,91.1,66.1,65.0,82.9,79.7,5.4,70.6,Improving
125,Greenhaven 125,Denmark,Suburban,518296,2271,68.2,56,35.7,657,91.1,48960,81.0,73.7,60.7,79.7,91.5,5.0,70.1,Improving
126,Hillcrest 126,Norway,Suburban,830444,1588,81.2,32,16.7,573,89.8,46827,103.8,52.6,61.5,88.3,66.1,4.8,58.1,Improving
127,Cedarvale 127,Canada,Rural-Regional,706970,663,78.6,77,27.0,585,95.9,40262,126.7,60.9,58.2,80.1,64.7,6.1,67.1,Improving
128,Westhaven 128,Denmark,Suburban,659478,3115,59.6,54,37.0,465,91.4,59813,106.1,78.3,68.3,83.0,66.5,6.0,67.0,Improving
129,Springdale 129,Japan,Suburban,918328,2506,67.8,36,27.0,544,95.0,53795,108.6,64.1,72.2,87.7,85.4,6.5,71.5,Improving
130,Maplewood 130,Ireland,Suburban,631592,1433,65.4,47,22.7,748,89.2,20000,95.3,52.6,69.8,88.4,57.0,4.3,55.8,Improving
131,Lakeside 131,Denmark,Suburban,384882,1418,69.9,77,19.6,537,90.4,41442,119.4,51.8,69.9,88.3,57.9,5.4,56.7,Improving
132,Pinecrest 132,Norway,Suburban,442743,1858,67.1,81,28.0,599,93.5,30147,132.3,44.9,69.6,99.0,64.7,5.7,57.0,Improving
133,Springdale 133,Sweden,Suburban,405738,1121,51.9,76,26.1,191,91.6,57444,86.8,72.7,66.7,82.5,79.6,4.3,66.2,Improving
134,Maplewood 134,Sweden,Rural-Regional,606431,779,47.7,45,32.4,619,91.1,38815,100.1,57.5,60.6,87.8,83.9,5.3,59.9,Improving
135,Pinecrest 135,Portugal,Suburban,298674,1954,66.3,57,14.3,592,88.9,42734,106.0,75.5,85.2,77.6,65.3,6.8,61.3,Improving
136,Seaview 136,Netherlands,Rural-Regional,197237,741,48.6,81,36.0,750,88.9,54943,96.7,73.7,78.5,89.4,88.6,5.0,63.0,Improving
137,Westhaven 137,Germany,Suburban,567210,2028,80.6,48,23.2,81,96.1,49030,89.3,58.4,58.9,94.1,80.3,7.0,73.8,Thriving
138,Brookfield 138,New Zealand,Rural-Regional,259085,741,63.3,51,32.6,534,93.9,54775,122.7,59.7,58.9,94.5,92.1,5.6,61.6,Improving
139,Lakeside 139,Ireland,Suburban,184685,1549,51.4,44,21.0,520,89.0,56411,113.4,72.8,62.1,81.5,85.2,5.6,64.6,Improving
140,Greenhaven 140,Ireland,Suburban,663531,1518,59.8,40,16.4,555,88.5,32871,119.6,66.5,68.3,84.0,67.6,4.9,56.5,Improving
141,Hillcrest 141,Japan,Urban,365463,4361,60.8,82,20.1,474,98.0,67656,148.4,67.7,80.6,94.8,78.3,5.1,66.5,Improving
142,Lakeside 142,Denmark,Suburban,709892,911,61.4,66,19.7,567,89.4,37695,99.0,48.5,78.1,85.3,73.9,4.7,62.1,Improving
143,Brookfield 143,Canada,Rural-Regional,403539,751,74.2,63,24.4,648,89.4,60326,118.6,74.0,78.7,92.7,82.1,5.6,68.4,Improving
144,Brookfield 144,New Zealand,Suburban,291536,1147,45.9,66,32.3,542,93.5,47081,100.6,56.2,78.9,79.2,81.1,5.1,63.7,Improving
145,Aurora 145,Japan,Suburban,272683,882,40.6,72,35.9,480,89.1,20000,101.0,42.3,79.1,95.7,81.4,4.4,56.3,Improving
146,Stonebridge 146,Portugal,Suburban,407090,1183,67.4,80,28.7,498,91.0,46745,113.9,58.8,75.4,93.2,85.9,6.2,64.0,Improving
147,Kingsford 147,New Zealand,Suburban,464928,2062,62.2,59,22.1,481,95.5,54329,109.0,69.2,72.5,89.2,77.2,5.4,62.1,Improving
148,Hillcrest 148,Norway,Suburban,343553,2501,66.7,55,22.4,560,96.2,96209,93.0,86.0,66.8,80.4,83.5,5.5,72.9,Thriving
149,Maplewood 149,Denmark,Urban,462957,4076,71.9,48,29.6,454,91.8,43754,143.5,61.3,50.6,84.9,78.9,4.9,59.7,Improving
150,Silvergate 150,Ireland,Suburban,232151,1091,61.0,73,36.2,194,97.4,34822,108.4,51.7,66.7,87.1,79.1,6.3,61.1,Improving
151,Aurora 151,Denmark,Urban,544688,6983,79.4,61,20.0,848,91.4,64956,108.1,86.2,86.0,87.8,85.1,4.9,70.4,Improving
152,Lakeside 152,Portugal,Urban,201489,4867,56.7,42,23.2,288,92.5,62832,82.1,66.6,62.6,85.3,86.2,6.0,73.5,Thriving
153,Pinecrest 153,New Zealand,Suburban,485715,1463,64.4,54,20.8,517,92.2,42583,107.7,62.4,61.7,84.5,88.3,5.8,64.6,Improving
154,Springdale 154,Germany,Rural-Regional,792947,464,52.5,56,29.3,301,91.8,20000,113.1,54.2,78.2,87.3,85.0,6.3,66.7,Improving
155,Seaview 155,Canada,Suburban,985166,1563,50.2,71,34.4,490,93.7,54029,128.6,55.0,68.8,95.8,78.6,5.0,61.5,Improving
156,Rosemont 156,Japan,Suburban,1387354,1703,71.3,73,4.0,376,94.4,68025,133.3,79.8,63.2,71.9,72.1,4.8,57.9,Improving
157,Kingsford 157,Netherlands,Rural-Regional,229588,462,69.3,45,29.7,515,89.8,40147,97.8,62.3,83.6,76.4,79.7,6.3,68.0,Improving
158,Oakridge 158,Ireland,Suburban,820196,1704,40.6,46,22.3,397,93.2,51517,122.0,59.6,74.2,75.2,58.3,5.2,57.7,Improving
159,Lakeside 159,Ireland,Suburban,1049112,1465,50.2,53,8.2,316,91.2,36289,79.3,59.9,75.6,81.2,60.8,5.8,57.8,Improving
160,Fairview 160,New Zealand,Suburban,926626,1062,66.7,39,29.7,583,90.9,52600,111.3,80.7,62.4,73.8,93.2,6.1,71.0,Improving
161,Rosemont 161,Norway,Suburban,324120,2309,77.4,58,25.5,775,90.6,49939,128.5,59.1,73.0,89.9,77.1,5.3,63.4,Improving
162,Riverton 162,Japan,Suburban,677719,2844,57.2,67,28.7,615,95.5,54930,103.4,71.3,71.8,86.7,50.0,5.0,61.9,Improving
163,Cedarvale 163,Germany,Suburban,1503085,1252,61.2,58,16.1,551,93.2,57320,107.1,67.7,75.8,84.2,73.3,5.3,64.4,Improving
164,Springdale 164,Ireland,Suburban,237162,1856,47.1,34,43.7,362,97.1,57603,113.8,67.4,79.5,81.2,84.2,6.6,72.8,Thriving
165,Westhaven 165,Norway,Suburban,702208,1141,93.4,39,28.0,517,97.0,53999,111.6,56.2,79.3,87.1,66.0,7.5,76.2,Thriving
166,Westhaven 166,Japan,Suburban,996256,1061,68.9,76,24.4,605,92.1,56215,136.1,71.6,69.7,87.2,98.0,5.6,68.7,Improving
167,Westhaven 167,Norway,Suburban,368381,1709,74.6,43,38.9,428,91.4,46596,90.1,81.1,74.9,88.3,92.8,7.8,77.1,Thriving
168,Westhaven 168,Canada,Suburban,744623,2182,72.3,70,31.5,698,89.1,50732,135.9,64.5,56.5,80.9,87.0,6.0,58.5,Improving
169,Northport 169,Sweden,Suburban,299841,1200,74.5,67,33.7,524,92.8,38166,84.1,55.8,74.4,90.5,78.3,5.7,71.9,Improving
170,Stonebridge 170,Germany,Rural-Regional,345685,484,69.8,51,36.9,581,94.3,47492,94.0,52.1,74.8,75.7,85.1,5.5,73.8,Thriving
171,Westhaven 171,Germany,Suburban,344760,2258,60.5,44,9.7,461,97.7,58691,99.3,66.9,64.1,94.7,81.6,5.1,64.9,Improving
172,Riverton 172,Sweden,Rural-Regional,600650,680,71.7,59,40.8,440,88.3,53799,106.1,62.3,60.3,64.5,85.5,5.8,63.1,Improving
173,Sunnyside 173,Netherlands,Suburban,513990,1750,64.9,45,23.9,576,95.0,49411,101.3,64.0,67.4,81.8,70.0,5.3,62.0,Improving
174,Greenhaven 174,Denmark,Urban,913248,4352,82.4,61,26.9,641,95.3,36833,124.7,65.1,55.9,77.6,79.2,6.3,64.4,Improving
175,Sunnyside 175,Ireland,Suburban,322173,1621,55.0,60,34.1,595,98.0,40596,108.5,50.2,71.4,91.5,81.6,6.1,66.0,Improving
176,Cedarvale 176,Japan,Suburban,502724,850,56.4,46,21.6,352,93.9,62662,149.3,72.8,70.9,75.6,78.5,6.3,64.2,Improving
